#t	fxm	fym	fzm	fzp
  0.0070494725	  0.1891560969	  0.0000000000	  0.0000000000	  0.7071067812
  0.0140989450	  0.4614253461	  0.0000000000	  0.0000000000	  0.7104470851
  0.0211484176	  0.6433453403	  0.0000000000	  0.0000000000	  0.7123938031
  0.0281978901	  0.7008158310	  0.0000000000	  0.0000000000	  0.7129431168
  0.0352473626	  0.6230671279	  0.3235885699	  0.0000000000	  0.7120939485
  0.0422968351	  0.4246463395	  0.5619531602	  0.0000000000	  0.7098479641
  0.0493463076	  0.1427366154	  0.6934654305	  0.0000000000	  0.7062095690
  0.0563957801	  0.0000000000	  0.6924884546	  0.0000000000	  0.7011859003
  0.0634452527	  0.0000000000	  0.5580566275	  0.0000000000	  0.6947868121
  0.0704947252	  0.0000000000	  0.3141611676	  0.0000000000	  0.6870248568
  0.0775441977	  0.0000000000	  0.0000000000	  0.0000000000	  0.6779152598
  0.0845936702	  0.0000000000	  0.0000000000	  0.0000000000	  0.6674758901
  0.0916431427	  0.0000000000	  0.0000000000	  0.0000000000	  0.6557272254
  0.0986926152	  0.0000000000	  0.0000000000	  0.0000000000	  0.6426923112
  0.1057420878	  0.1274306884	  0.0000000000	  0.0000000000	  0.6283967164
  0.1127915603	  0.4435119279	  0.0000000000	  0.0000000000	  0.6128684826
  0.1198410328	  0.6864554397	  0.0000000000	  0.0000000000	  0.5961380695
  0.1268905053	  0.8102503469	  0.0000000000	  0.0000000000	  0.5782382947
  0.1339399778	  0.7898395807	  0.2518809666	  0.0000000000	  0.5592042699
  0.1409894503	  0.6258637727	  0.5636439314	  0.0000000000	  0.5390733314
  0.1480389229	  0.3448079256	  0.7828809968	  0.0000000000	  0.5178849673
  0.1550883954	  0.0000000000	  0.8684874660	  0.0000000000	  0.4956807398
  0.1621378679	  0.0000000000	  0.8025725197	  0.0000000000	  0.4725042040
  0.1691873404	  0.0000000000	  0.5938492311	  0.0000000000	  0.4484008221
  0.1762368129	  0.0000000000	  0.2763180827	  0.0000000000	  0.4234178742
  0.1832862854	  0.0000000000	  0.0000000000	  0.0000000000	  0.3976043661
  0.1903357580	  0.0000000000	  0.0000000000	  0.0000000000	  0.3710109325
  0.1973852305	  0.0000000000	  0.0000000000	  0.0000000000	  0.3436897380
  0.2044347030	  0.0000000000	  0.0000000000	  0.0000000000	  0.3156943749
  0.2114841755	  0.1744453957	  0.0000000000	  0.0000000000	  0.2870797578
  0.2185336480	  0.5393682946	  0.0000000000	  0.0000000000	  0.2579020160
  0.2255831205	  0.8194253883	  0.0000000000	  0.0000000000	  0.2282183835
  0.2326325931	  0.9671040062	  0.0000000000	  0.0000000000	  0.1980870866
  0.2396820656	  0.9570564043	  0.2365676703	  0.0000000000	  0.1675672296
  0.2467315381	  0.7903051407	  0.5972652571	  0.0000000000	  0.1367186791
  0.2537810106	  0.4939386359	  0.8630601676	  0.0000000000	  0.1056019466
  0.2608304831	  0.1164043549	  0.9904205140	  0.0000000000	  0.0000000000
  0.2678799556	  0.0000000000	  0.9588291641	  0.0000000000	  0.0000000000
  0.2749294282	  0.0000000000	  0.7739444848	  0.0000000000	  0.0000000000
  0.2819789007	  0.0000000000	  0.4663463323	  0.0000000000	  0.0000000000
  0.2890283732	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.2960778457	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.3031273182	  0.0000000000	  0.0000000000	  0.1145611676	  0.0000000000
  0.3101767907	  0.0000000000	  0.0000000000	  0.1456071165	  0.0000000000
  0.3172262633	  0.0000000000	  0.0000000000	  0.1763674481	  0.0000000000
  0.3242757358	  0.3097882681	  0.0000000000	  0.2067818240	  0.0000000000
  0.3313252083	  0.6369195289	  0.0000000000	  0.2367905846	  0.0000000000
  0.3383746808	  0.8618772061	  0.0000000000	  0.2663348659	  0.0000000000
  0.3454241533	  0.9527944715	  0.0000000000	  0.2953567149	  0.0000000000
  0.3524736259	  0.8993752119	  0.2937316871	  0.3237992035	  0.0000000000
  0.3595230984	  0.7136904639	  0.6058207349	  0.3516065400	  0.0000000000
  0.3665725709	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.3736220434	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.3806715159	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.3877209884	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.3947704610	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4018199335	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4088694060	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4159188785	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4229683510	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4300178235	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4370672961	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4441167686	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4511662411	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4582157136	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4652651861	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4723146586	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4793641312	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4864136037	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.4934630762	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5005125487	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5075620212	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5146114937	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5216609663	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  0.5287104388	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
